Type ligne ;Type Budget;code;Mission;Ministere;Libelle;Libelle abrege
SSA;BG;112-13-05;;;Soutien à Business France;SCSP BF
ACT;BG;112-14;;;Prime d’aménagement du territoire, contrats de ruralité et pacte Etat-métropoles;
SSA;BG;112-14-01;;;Prime d'aménagement du territoire;PAT
SSA;BG;112-14-02;;;Pacte État-métropoles;Pacte État-métropoles
SSA;BG;112-14-03;;;Contrats de ruralité;Contrats de ruralité
PGM;BG;162;VA;12;Interventions territoriales de l'État;IntervTerritÉtat
ACT;BG;162-06;;;Plan gouvernemental sur le Marais Poitevin - Poitou Charentes;Plan gouv Marais Poitevin
SSA;BG;162-06-61;;;Améliorer et coordonner la gestion de la ressource en eau;Gestion de ressou. en eau
SSA;BG;162-06-62;;;Favoriser une agriculture conforme aux enjeux environnementaux du marais;Agric. conf. enj. envir.
SSA;BG;162-06-63;;;Préserver les milieux naturels;Préserv. milieux naturels
SSA;BG;162-06-64;;;Gérer et valoriser de façon durable le territoire et le patrimoine du Marais poitevin;Gérer terr  patr Mar poit
ACT;BG;162-02;;;Eau - Agriculture en Bretagne;Eau - Agric. en Bretagne
SSA;BG;162-02-21;;;Inciter les agriculteurs et les autres acteurs à supprimer les atteintes à l'environnement;Suppr. Attein. Environ.
SSA;BG;162-02-22;;;Mesurer l'évolution de la situation environnementale des milieux et faire appliquer des solutions correctives par l'action réglementaire;Mesurer évol. Sit. envir
SSA;BG;162-02-23;;;Améliorer l'évaluation des résultats, développer le retour d'expérience et amplifier la gestion prospective et le pilotage à long terme;Améliorer éval résultats
SSA;BG;162-02-24;;;Mettre en oeuvre le plan d'urgence nitrates;Plan d'urgence nitrates
SSA;BG;162-02-25;;;Mettre en oeuvre le plan de lutte contre les algues vertes;Plan lutte algues vertes
ACT;BG;162-04;;;Programme exceptionnel d'investissements en faveur de la Corse;Prog excep invest Corse
SSA;BG;162-04-41;;;Mettre à niveau les réseaux et équipements collectifs;Mise niv rés. équip coll
SSA;BG;162-04-42;;;Renforcer les infrastructures de mise en valeur du territoire insulaire;Mise val du terr. insul.
SSA;BG;162-04-43;;;Résorber le déficit en services collectifs;Résorb. déficit serv coll
SSA;BG;162-04-44;;;Assistance à maîtrise d'ouvrage;Assistance à Mait. Ouvr.
ACT;BG;162-08;;;Volet territorialisé du plan national d'action chlordécone;Plan chlordéco. terri
SSA;BG;162-08-81;;;Elaborer localement une stratégie d'amélioration de la qualité de vie des populations dans un contexte de pollution;Strat amél qual  vie pop
SSA;BG;162-08-82;;;Favoriser une approche de prévention du risque sanitaire et de protection des populations dans une stratégie durable;Préven. risque sanitaire
SSA;BG;162-08-83;;;Poursuivre les actions de recherche;Poursuite actions rech.
SSA;BG;162-08-84;;;Evaluer les enjeux socio-économiques de la pollution au chlordécone;Enj socio-éco poll chlor.
ACT;BG;162-09;;;Plan littoral 21;Plan littoral 21
SSA;BG;162-09-91;;;Vitrine française de la résilience écologique;Résilience écologique
SSA;BG;162-09-92;;;Economie globale portée par l'innovation qui irrigue tout le territoire;Dévpt. économique global
SSA;BG;162-09-93;;;Littoral symbole d'attractivité, d'accueil et de cohésion républicaine;Attrac.accueil-cohés.soc.
ACT;BG;162-10;;;Fonds interministériel pour la transformation de la Guyane;
SSA;BG;162-10-01;;;La cohésion des territoires;
SSA;BG;162-10-02;;;La mobilité multimodale;
SSA;BG;162-10-03;;;Les territoires résilients;
SSA;BG;162-10-04;;;Les territoires d'innovation et de rayonnement;
SSA;BG;162-10-05;;;La cohésion sociale et l'employabilité;
ACT;BG;162-11;;;Reconquête de la qualité des cours d’eau en Pays de la Loire;Eau Pays de Loire
SSA;BG;162-11-11;;;Mieux accompagner les maîtres d'ouvrage porteurs des actions de restauration des milieux aquatiques;Accomp MOA actions aqua
SSA;BG;162-11-12;;;Accompagner la transition agro-écologique des exploitations agricoles;Acc transition agro éco
SSA;BG;162-11-13;;;Renforcer les connaissances et le suivi;Renforcer conn et suivi
PGM;BG;177;VA;45;Hébergement, parcours vers le logement et insertion des personnes vulnérables;LogementInsertionPersVuln
ACT;BG;177-11;;;Prévention de l'exclusion;
SSA;BG;177-11-01;;;Alloctaions et aides sociales;
SSA;BG;177-11-05;;;Autres actions de prévention de l'exclusion;
SSA;BG;177-11-02;;;Gens du voyage - action sociale;
SSA;BG;177-11-03;;;Gens du voyage - aide aux collectivités et organismes gérant des aires d'accueil des gens du voyage (ALT2);
ACT;BG;177-12;;;Hébergement et logement adapté;
SSA;BG;177-12-01;;;Plate-forme de veille sociale : 115;
SSA;BG;177-12-02;;;Plate-forme de veille sociale : SAO;
SSA;BG;177-12-03;;;Plate-forme de veille sociale : accueil de jour;
SSA;BG;177-12-04;;;Plate-forme de veille sociale : SAMU social, équipes mobiles;
SSA;BG;177-12-06;;;Hébergement d'urgence - hors centres d'hébergement et de réinsertion sociale (CHRS);
SSA;BG;177-12-10;;;Centres d’hébergement et de réinsertion sociale (CHRS) - structures en dotation globale;
SSA;BG;177-12-07;;;Nuits d'hôtel;
SSA;BG;177-12-08;;;Accompagnement social lié à l'hébergement;
SSA;BG;177-12-15;;;Allocation de logement temporaire (ALT1);
SSA;BG;177-12-12;;;Résidences sociales (aide à la gestion locative sociale);
SSA;BG;177-12-13;;;Maisons-relais;
SSA;BG;177-12-11;;;Adaptation à la vie active dans les CHRS;
SSA;BG;177-12-17;;;Autres actions en faveur de l'hébergement et du logement adapté;
SSA;BG;177-12-09;;;Hébergement de stabilisation - hors centres d'hébergement et de réinsertion sociale (CHRS);
SSA;BG;177-12-05;;;Service intégré de l'accueil et de l'orientation (SIAO);
SSA;BG;177-12-14;;;Intermédiation locative;
SSA;BG;177-12-16;;;Accompagnement vers et dans le logement;
ACT;BG;177-14;;;Conduite et animation des politiques de l'hébergement et de l'inclusion sociale;
SSA;BG;177-14-01;;;Ingénierie et outils de la gouvernance;
SSA;BG;177-14-02;;;Soutien financier aux organismes nationaux intervenant dans le champ social : FONJEP;
SSA;BG;177-14-03;;;Soutien financier aux organismes nationaux intervenant dans le champ social : autres organismes nationaux;
SSA;BG;177-14-04;;;Institut de formation aux carrières administratives, sanitaires et sociales de Dieppe;
SSA;BG;177-14-06;;;Autres actions de conduite et d’animation de la politique de de l'hébergement et de l'inclusion social;
PGM;BG;109;VA;45;Aide à l'accès au logement;Aide accès logement
ACT;BG;109-01;;;Aides personnelles;
ACT;BG;109-02;;;Information relative au logement et accompagnement des publics en difficulté;Info logt accompagnement
SSA;BG;109-02-01;;;Information sur le logement (ANIL et ADIL);Info logt (ANIL et ADIL)
SSA;BG;109-02-02;;;Autres interventions de l'Etat en faveur du logement des publics en difficulté;Autres interventions Etat
ACT;BG;109-03;;;Sécurisation des risques locatifs;
SSA;BG;109-03-01;;;Garantie des risques locatifs;
PGM;BG;147;VA;45;Politique de la ville;PolitiqueVille
ACT;BG;147-02;;;Revitalisation économique et emploi;Emploi
SSA;BG;147-02-20;;;Allègement de charges sociales dans les zones franches urbaines et les zones de redynamisation urbaine;Exonérations ZFU-ZRU
SSA;BG;147-02-21;;;Fonctionnement de l'établissement public d’insertion de la défense;Subvention EPIDe
ACT;BG;147-03;;;Stratégie, ressources et évaluation;Stratégie
SSA;BG;147-03-31;;;Fonctionnement des services et formation des acteurs de la politique de la ville;Formation
SSA;BG;147-03-30;;;Centre de ressources - Formation des acteurs régionaux;Centres de ressources
SSA;BG;147-03-32;;;Evaluation - accompagnement des acteurs;Eval_Accomp_Acteurs
SSA;BG;147-03-34;;;Partenariat National;Associations
SSA;BG;147-03-35;;;Etudes et communications;Etudes - Comm
SSA;BG;147-03-36;;;Mesures expérimentales;Expérimentation
SSA;BG;147-03-38;;;Délégués du Prefet;
ACT;BG;147-01;;;Actions territorialisées et Dispositifs spécifiques de la politique de la ville;Actions territorialisées
SSA;BG;147-01-10;;;Programme d'action des contrats de ville;Actions contrats de ville
SSA;BG;147-01-11;;;Réussite éducative;
SSA;BG;147-01-12;;;Adultes relais;
SSA;BG;147-01-17;;;Investissement  régionaux (CPER) (Ex FIV);Ex FIV régions-CPER
SSA;BG;147-01-18;;;Investissement  régionaux (hors CPER) (Ex FIV);Ex FIV régions-Hors CPER
SSA;BG;147-01-20;;;Délégation interministérielle à la lutte contre le racisme et l'antisémitisme (DILCRA);DILCRA
ACT;BG;147-04;;;Rénovation urbaine et amélioration du cadre de vie;Rénovation urbaine
SSA;BG;147-04-40;;;Programme national de rénovation urbaine;PNRU
SSA;BG;147-04-41;;;Grands Projets de ville et opérations de renouvellement urbain (CPER);Ex GPV-ORU -CPER
SSA;BG;147-04-42;;;Grands Projets de ville et opérations de renouvellement urbain (hors CPER);EX GPV-ORU - Hors CPER
SSA;BG;147-04-44;;;Amélioration du cadre de vie - Collèges dégradés (ANRU);Collèges dégradés (ANRU)
SSA;BG;147-04-45;;;Fonctionnement de l’agence nationale de rénovation urbaine (ANRU);Fonctionnement de l'ANRU
PGM;BG;135;VA;45;Urbanisme, territoires et amélioration de l'habitat;UrbTerritoiresAmeHabitat
ACT;BG;135-04;;;Réglementation, politique technique et qualité de la construction;Réglementation qual const
SSA;BG;135-04-01;;;Contentieux de l'habitat;
SSA;BG;135-04-03;;;Qualité de la construction : études;Qualité construc : études
SSA;BG;135-04-05;;;Contentieux de l'urbanisme;
SSA;BG;135-04-06;;;Observatoires du logement;
SSA;BG;135-04-08;;;Rénovation thermique des logements privés - Grand plan d'investissement (GPI);GPI Anah
ACT;BG;135-08;;;Grand Paris;
ACT;BG;135-01;;;Construction locative et amélioration du parc;
SSA;BG;135-01-03;;;Gens du voyage;
SSA;BG;135-01-11;;;Parc locatif social - Hors conventions de délégation de compétence - Maîtrise d'oeuvre urbaine et sociale et autres prestations d'ingénierie;hors DAP, MOUS ingénierie
SSA;BG;135-01-02;;;Agence nationale de l'habitat (ANAH);ANAH
SSA;BG;135-01-04;;;Parc locatif social - Conventions de délégation de compétence (article 61 de la loi du 13 août 2004);PLS Convention délégation
SSA;BG;135-01-06;;;Parc locatif social - Hors conventions de délégation de compétence - Offre nouvelle en construction neuve et acquisition amélioration y compris surchage foncière;PLS Hors conv Offre nouv 
SSA;BG;135-01-07;;;Parc locatif social - Hors conventions de délégation de compétence - Réhabilitation et amélioration de la qualité de service;PLS Hors conv Réhabilitat
SSA;BG;135-01-08;;;Parc locatif social - Hors conventions de délégation de compétence - Démolition et changement d'usage;PLS Hors conv Démolition
SSA;BG;135-01-13;;;SNE et numéro unique;SNE / numéro unique
SSA;BG;135-01-14;;;Fonds national des aides à la pierre (FNAP);
ACT;BG;135-03;;;Lutte contre l'habitat indigne;Lutte contre hab. indigne
SSA;BG;135-03-01;;;Lutte contre l'insalubrité;Lutte contre insalubrité
SSA;BG;135-03-02;;;Lutte contre le risque plomb;Lutte contre risque plomb
ACT;BG;135-05;;;Soutien;
SSA;BG;135-05-06;;;Observation, études et évaluation : études locales;Observ : études locales
SSA;BG;135-05-01;;;Observation, études et évaluation : études centrales;Observ : études centrales
SSA;BG;135-05-02;;;Communication;
SSA;BG;135-05-03;;;Formation : actions nationales et interrégionales;Formation AC
SSA;BG;135-05-04;;;Applications informatiques nationales;Informatique
SSA;BG;135-05-05;;;Déplacements des agents de l'administration centrale et remboursement de personnel mis a disposition;Déplacements agents AC
SSA;BG;135-05-10;;;Commissions de médiation pour le droit au logement opposable;COM DALO
ACT;BG;135-02;;;Soutien à l'accession à la propriété;
SSA;BG;135-02-03;;;Participation aux frais de gestion de la société de gestion du fonds de garantie de l'accession sociale;Part frais gestion SGFGAS
ACT;BG;135-07;;;Urbanisme et aménagement;
SSA;BG;135-07-01;;;Villes et territoires durables;Villes & territ. durables
SSA;BG;135-07-02;;;Politiques d'aménagement de l'Etat (CPER);Politiq aménagt (CPER)
SSA;BG;135-07-03;;;Politiques d'aménagement de l'Etat (hors CPER);Politiq aménagt (HCPER)
SSA;BG;135-07-04;;;Aide aux maires bâtisseurs;
MSN;BG;AA;;;Action extérieure de l'État;ActionExtÉtat
PGM;BG;105;AA;01;Action de la France en Europe et dans le monde;ActionFranceEurope_Monde
ACT;BG;105-01;;;Coordination de l'action diplomatique;Coordination action diplo
SSA;BG;105-01-01;;;Etat major : cabinets;Etat major : cabinets
SSA;BG;105-01-08;;;Etat major : logistique de niveau chef d'Etat ou de gouvernement;Et.maj. log chef Etat/gvt
SSA;BG;105-01-09;;;Etat-major : affaires politiques;Et.maj. aff. politiques
SSA;BG;105-01-15;;;"Personnel concourant à l'action ""coordination de l'action diplomatique""";Pers. coordin. act. diplo
SSA;BG;105-01-16;;;Sécurité des communautés françaises;Sécur. communautés franç.
ACT;BG;105-99;;;Dépenses de personnel à reventiler entre les actions du programme;
ACT;BG;105-05;;;Coopération de sécurité et de défense;Coop. sécurité et défense
SSA;BG;105-05-01;;;Formation des élites et cadres de sécurité et de défense;Form.élites sécu déf
SSA;BG;105-05-02;;;Ingénierie de sécurité et de défense;Ingénierie sécu.& défense
SSA;BG;105-05-03;;;Fonctions de direction et soutien en France et étranger;Fonct.dir.&soutien Fr&étr
SSA;BG;105-05-04;;;"Personnel concourant à l'action ""coopération de sécurité et de défense""";Pers.action coop.sécu.déf
ACT;BG;105-04;;;Contributions internationales;Contrib. internationales
SSA;BG;105-04-01;;;Opérations de maintien de la paix : participations obligatoires aux opérations de maintien de la paix des Nations Unies (en devises);OMP particip.obl.NU (dev)
SSA;BG;105-04-02;;;Contributions en euros aux organisations internationales;CI en euros
SSA;BG;105-04-05;;;Contributions en devises aux organisations internationales;CI en devises
ACT;BG;105-06;;;Soutien;Soutien
SSA;BG;105-06-06;;;Ressources humaines;Ressources humaines
SSA;BG;105-06-08;;;Systèmes d'information et de télécommunication;Systèmes d’information
SSA;BG;105-06-10;;;Logistique diplomatique;Logistique diplomatique
SSA;BG;105-06-11;;;Politique immobilière;Politique immobilière
SSA;BG;105-06-12;;;Sécurité diplomatique;Sécurité diplomatique
SSA;BG;105-06-14;;;"Personnel concourant à l'action ""soutien""";Pers. action soutien
ACT;BG;105-02;;;Action européenne;
SSA;BG;105-02-01;;;Moyens de fonctionnement : services d'administration centrale;Moyens  fonction. sces AC
SSA;BG;105-02-11;;;"Personnel concourant à l'action ""action européenne""";Pers. action européenne
SSA;BG;105-02-07;;;Dépenses d'intervention et de communication du ministre chargé des affaires européennes;Subv. et comm. Min AE
SSA;BG;105-02-08;;;Contributions aux organisations européennes;Contrib. org. eur.
ACT;BG;105-07;;;Réseau diplomatique;Réseau diplomatique
SSA;BG;105-07-01;;;Réseau diplomatique : postes à l'étranger - dépenses de structures du ministère des Affaires étrangères;Rés.diplo.étr.struc.MAE
SSA;BG;105-07-02;;;"Personnel du Ministère des Affaires étrangères et européennes concourant à l'action ""réseau diplomatique""";Pers.MAE action rés diplo
SSA;BG;105-07-03;;;Réseau diplomatique : postes à l'étranger - dépenses de structures hors ministère des Affaires étrangères;Rés.diplo.étr.str.horsMAE
SSA;BG;105-07-04;;;"Personnel hors Ministère des Affaires étrangères et européennes, concourant à l'action ""réseau diplomatique""";Pers.horsMAEact.rés.diplo
PGM;BG;185;AA;01;Diplomatie culturelle et d'influence;Diplomatie culturelle et
ACT;BG;185-01;;;Appui au réseau;Appui au réseau
ACT;BG;185-04;;;Enseignement supérieur et recherche;Ens. sup recherche
ACT;BG;185-02;;;Coopération culturelle et promotion du français;Coop. cult. et Français
SSA;BG;185-02-01;;;Langue française et diversité linguistique;Français
SSA;BG;185-02-05;;;Coopération et diffusion culturelles;Coop. culturelle
ACT;BG;185-05;;;Agence pour l'enseignement français à l'étranger;AEFE
ACT;BG;185-03;;;Objectifs de développement durable;ODD
ACT;BG;185-06;;;"Dépenses de personnel concourant au programme ""Diplomatie culturelle et d'influence""";Dép.pers.dipl.cultur.infl
ACT;BG;185-07;;;Diplomatie économique et développement du tourisme;Diplomatie éco tourisme
PGM;BG;151;AA;01;Français à l'étranger et affaires consulaires;FrançaisEtrangAffConsul
ACT;BG;151-01;;;Offre d'un service public de qualité aux Français à l'étranger;Offre sce publ.qualitéFAE
SSA;BG;151-01-02;;;Services publics administratifs offerts aux français;Sces publ. adm. aux Franç
SSA;BG;151-01-13;;;"Personnel concourant à l'action ""offre d'un service public de qualité aux français à l'étranger""";Pers.sce publ.qualité FAE
SSA;BG;151-01-12;;;Animation et gestion du réseau : animation des postes consulaires;Animation postes consul.
ACT;BG;151-03;;;Instruction des demandes de visa;Instruction demandes visa
SSA;BG;151-03-01;;;Fourniture des services administratifs;Fourniture services admin
SSA;BG;151-03-02;;;"Personnel concourant à l'action ""instruction des demandes de visa""";Pers. instruct. ddes visa
SSA;BG;151-03-03;;;Introduction de la biométrie, aménagement des services et lutte contre la fraude;Intro biomet lutte fraude
ACT;BG;151-99;;;Dépenses de personnel à reventiler entre les actions du programme;
ACT;BG;151-02;;;Accès des élèves français au réseau AEFE;Accès élèves franç. AEFE
SSA;BG;151-02-01;;;Aide à la scolarité;Aide à la scolarité
SSA;BG;151-02-02;;;Prise en charge des frais de scolarité;PEC frais de scolarité
MSN;CCF;ZA;;;Accords monétaires internationaux;AccordsMonétInter
PGM;CCF;811;ZA;21;Relations avec l'Union monétaire ouest-africaine;Rel.Union.mon.ouest-afric
ACT;CCF;811-01;;;Relations avec l'Union monétaire ouest-africaine;
PGM;CCF;813;ZA;21;Relations avec l'Union des Comores;Relations Union des Comor
ACT;CCF;813-01;;;Relations avec l'Union des Comores;
PGM;CCF;812;ZA;21;Relations avec l'Union monétaire d'Afrique centrale;Rel.Union.mon.Afri.centra
ACT;CCF;812-01;;;Relations avec l'Union monétaire d'Afrique centrale;
MSN;BA;XC;;;Contrôle et exploitation aériens;BACEA
PGM;BA;613;XC;23;Soutien aux prestations de l'aviation civile;SoutienPrestationsAvciv
ACT;BA;613-01;;;Ressources humaines et management;
SSA;BA;613-01-01;;;Ressources humaines et management;
SSA;BA;613-01-02;;;Météo-France;
ACT;BA;613-02;;;Logistique;
ACT;BA;613-03;;;Affaires financières;
ACT;BA;613-04;;;Formation aéronautique;
PGM;BA;612;XC;23;Navigation aérienne;Navigation aérienne
ACT;BA;612-01;;;Soutien et prestations externes de la Navigation aérienne;
ACT;BA;612-02;;;Exploitation et innovation de la Navigation aérienne;
PGM;BA;614;XC;23;Transports aériens, surveillance et certification;Transports aériens, sur
ACT;BA;614-01;;;Développement durable et régulation;
ACT;BA;614-02;;;Surveillance et certification;
ACT;BA;614-04;;;Enquêtes de sécurité aérienne;
MSN;CAS;YF;;;Développement agricole et rural;Développement agrico
PGM;CAS;775;YF;03;Développement et transfert en agriculture;Développement et transfer
ACT;CAS;775-01;;;Développement et transfert;
ACT;CAS;775-02;;;Fonction support;
PGM;CAS;776;YF;03;Recherche appliquée et innovation en agriculture;RechAppliqInnovAgri
ACT;CAS;776-01;;;Recherche appliquée et innovation;
SSA;CAS;776-01-01;;;Programmes de développement agricole et rural;
SSA;CAS;776-01-02;;;Appels à projet;
ACT;CAS;776-02;;;Fonction support;
MSN;BA;XJ;;;Publications officielles et information administrative;BAPOIA
PGM;BA;623;XJ;12;Édition et diffusion;Edition et diffusion
ACT;BA;623-01;;;Diffusion légale;
ACT;BA;623-02;;;Information administrative, édition publique et promotion;Info. admin. et éditions
PGM;BA;624;XJ;12;Pilotage et ressources humaines;Pilotage&RH
ACT;BA;624-01;;;Pilotage, modernisation et activités numériques;Pilot. moder. & act. num.
ACT;BA;624-02;;;Promotion et distribution des publications;Promo. Distrib. des pub.
ACT;BA;624-03;;;Dépenses de personnel;
ACT;BA;624-04;;;Convention Etat - Société anonyme de composition et d'impression des journaux officiels;convention état- saci-jo
MSN;BG;IA;;;Immigration, asile et intégration;ImmigrAsileIntégr
PGM;BG;104;IA;09;Intégration et accès à la nationalité française;Intégr&accNationalFranç
ACT;BG;104-11;;;Accueil des étrangers primo arrivants;accueil étrangers
SSA;BG;104-11-02;;;Accueil des étrangers primo-arrivants - Dépenses sur crédits nationaux;accueil primo-arrivants
SSA;BG;104-11-04;;;Accueil des étrangers primo-arrivants - Dépenses à la charge du fonds européen pour l'intégration (FEI);FEI-Accueil primo-arriv
SSA;BG;104-11-05;;;Accueil des étrangers primo-arrivants - Dépenses à la charge du Fonds européen asile, migration et intégration;FAM-Accueil primo-arriv
ACT;BG;104-12;;;Actions d'accompagnement des étrangers en situation régulière;intégration étrangers
SSA;BG;104-12-02;;;Actions d'accompagnement des primo-arrivants - Dépenses sur crédits nationaux;intégration immigré AC/SD
SSA;BG;104-12-08;;;Actions d'accompagnement des primo-arrivants. Dépenses à la charge du Fonds européen pour l'intégration (FEI);FEI intégration immigrés
SSA;BG;104-12-14;;;Actions d'accompagnement des étrangers. Dépenses à la charge du Fonds européen asile, migration et intégration (FAMI);FAMI Intégration
ACT;BG;104-14;;;Accès à la nationalité française;nationalité française
ACT;BG;104-15;;;Accompagnement des réfugiés;intégration réfugiés
SSA;BG;104-15-01;;;Centres provisoires d'hébergement des réfugiés;CPH
SSA;BG;104-15-12;;;Aide et accompagnement des réfugiés - Dépenses sur crédits nationaux;intégration réfugiés
SSA;BG;104-15-04;;;Aide et accompagnement des réfugiés. Dépenses à la charge du Fonds Européen pour les réfugiés (FER);FER intégration réfugiés
SSA;BG;104-15-13;;;Aide et accompagnement des réfugiés - dépenses à la charge du Fonds européen asile, migration et intégration (FAMI);FAM intégration réfugiés
ACT;BG;104-16;;;Accompagnement du plan de traitement des foyers de  travailleurs migrants;
SSA;BG;104-16-01;;;Foyers de travailleurs migrants - Dépenses sur crédits nationaux;FTM
SSA;BG;104-16-02;;;Foyers de travailleurs migrants - Dépenses à la charge du Fonds Européen pour l'intégration (FEI);FEI FTM
PGM;BG;303;IA;09;Immigration et asile;Immigration et asile
ACT;BG;303-01;;;Circulation des étrangers et politique des visas;circulation visas
ACT;BG;303-02;;;Garantie de l'exercice du droit d'asile;asile
SSA;BG;303-02-01;;;Office français de protection des réfugiés et apatrides (OFPRA);OFPRA
SSA;BG;303-02-03;;;Hébergement d'urgence et accompagnement des demandeurs d'asile;Héberg & accompgt social
SSA;BG;303-02-05;;;Prise en charge financière des demandeurs d'asile;Allocations Asile
SSA;BG;303-02-15;;;Centres d’accueil des demandeurs d’asile;CADA
SSA;BG;303-02-16;;;Fonds européen pour les réfugiés - Dépenses à la charge du fonds;FER asile
SSA;BG;303-02-17;;;Fonds européen asile, migration et intégration - Dépenses à la charge du fonds;FAM asile
SSA;BG;303-02-18;;;Actions spécifiques en faveur des demandeurs d'asile;Actions spé. Asile
ACT;BG;303-03;;;Lutte contre l'immigration irrégulière;immigration
SSA;BG;303-03-02;;;Assistance sanitaire et sociale aux personnes maintenues en rétention administrative ou en zone d'attente : prise en charge sanitaire dans les centres de rétention administrative et zones d'attente aéroportuaires;assistance sanitaire CRA
SSA;BG;303-03-03;;;Assistance sanitaire et sociale aux personnes maintenues en rétention administrative ou en zone d’attente : accompagnement social aux personnes retenues en centre de rétention administrative;Accompgt social CRA
SSA;BG;303-03-04;;;Reconduite à la frontière - Dépenses d'éloignement sur crédits nationaux;reconduite crédits nat
SSA;BG;303-03-06;;;Reconduite à la frontière - Dépenses de fonctionnement des centres de rétention administrative sur crédits nationaux;reconduite fonct CRA nat
SSA;BG;303-03-09;;;Investissement immobilier des centres de rétention administrative - Dépenses sur crédits nationaux;immo CRA credits nat
SSA;BG;303-03-11;;;Mise en oeuvre des accords de coopération policière;coopération policière
SSA;BG;303-03-13;;;Fonds européen asile, migration et intégration   - Dépenses à la charge du fonds;FAM retour
ACT;BG;303-04;;;Soutien;
SSA;BG;303-04-04;;;Système d'information concourant aux politiques d'immigration, d'asile et d'intégration;SI politiques DGEF
SSA;BG;303-04-01;;;Fonctionnement courant de la Direction générale des étrangers en France;fonct DGEF
SSA;BG;303-04-03;;;Soutien informatique de la Direction générale des étrangers en France;SI DGEF
MSN;BG;TB;;;Travail et emploi;Travail et emploi
