beneficiaire,adresse,descriptif,montant,nom,prenom,departement,groupe,programme_budgetaire,ID_Acteur
"A Corps serein",Lacenas,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",163-01,PA2377
"A Cœur Joie",Villefranche-sur-Saône,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",224-02,PA2377
"A Cœur Joie","25 chemin de Comberadix
38300 Bourgoin Jallieu","Formation et enseignement Chorale",1000.00,HUILLIER,Joëlle,Isère,"Socialiste, républicain et citoyen",224-02,PA606924
"A l'encre du Loch",,Fonctionnement,1000.00,"LE RAY",Philippe,Morbihan,"Les Républicains",224-02,PA607603
"A l'Eure des bambins","5 bis, rue de la mairie
27120 LE VAL DAVID
Présidente : Isabelle MARIE","Mutualisation des moyens nécessaires au fonctionnement d'une maison d'assistantes maternelles",1500.00,"LE MAIRE",Bruno,Eure,"Les Républicains",304-17,PA331481
"A la Découverte de nos Villages","271 impasse d'Artemare
76450 SAINT VAAST DIEPPEDALLE","Rencontres sur le Plateau",1000.00,CHAUVEL,Dominique,Seine-Maritime,"Socialiste, républicain et citoyen",163-01,PA609222
"A la rencontre de Germaine Tillion","c/o CPMF - 3 rue Beauregard
25000 Besançon","Adaptation théâtrale éducative de différents écrits de Germaine Tillion",2000.00,ROMAGNAN,Barbara,Doubs,"Socialiste, républicain et citoyen",224-02,PA605952
"A la Rencontre de Germaine Tillon","Centre Pierre Mendès France
3, rue Beauregard
25000 BESANCON","""Dialogue""  Adaptation théâtrale de textes de Germaine Tiilon",2000.00,ALAUZET,Éric,Doubs,Écologiste,224-02,PA605963
"A LECCIA TONDA",,Fonctionnement,3000.00,MARCANGELI,Laurent,Corse-du-Sud,"Les Républicains",134-21,PA605782
"A Te Kallisté",Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",224-02,PA1574
"A TEMPO","1 boulevard René Coty –
44600 Saint-Nazaire","Festival Consonances 2015",10000.00,BOUILLÉ,Marie-Odile,Loire-Atlantique,"Socialiste, républicain et citoyen",131-01,PA332843
"A tout Choeur",LAMBERSART,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",224-01,PA1001
"A.BC.K. (Association Bouddhique et culturelle Khmère)","BP 4
77600 BUSSY SAINT GEORGES",,4000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",224-02,PA609292
"A.C LE FEU","3 allée Ferdinand Lindet
93390 Clichy/bois","Initiatives citoyennes dans les quartiers prioritaires",13000.00,LAMY,François,Essonne,"Socialiste, républicain et citoyen",163-01,PA1816
"A.C.C. A de Meylan","4 av du vercors
38240 Meylan","Agrandissement d'un piège à corbeaux  pour réduire le nombre de corbeaux présents dans la zone agricole de la plaine de Meylan",1000.00,VÉRAN,Olivier,Isère,"Socialiste, républicain et citoyen",113-07,PA642788
"A.C.C.A de d'AUZERS",AURILLAC,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Dienne",DIENNE,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de la Monseilie","LA MONSELIE",Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Madic",MADIC,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Marcenat",MARCENAT,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Meallet",LEMPDES,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Molompize",TALLENDE,Fonctionnement,1500.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Moussages",MOUSSAGES,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Murat",MURAT,Fonctionnement,2000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Paulhenc",PAULHENC,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Saint Marc",,Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A de Saint Poncy","COREN LES EAUX",Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A du Falgoux","LE FALGOUX",Fonctionnement,1000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.C.A du Vaulmier","LE VAULMIER",Fonctionnement,2000.00,MARLEIX,Alain,Cantal,"Les Républicains",113-07,PA2084
"A.C.I.P. – Roissy en Brie","1 rue Paul Cézanne
77680 Roissy en Brie",,2000.00,"RIHAN CYPEL",Eduardo,Seine-et-Marne,"Socialiste, républicain et citoyen",219-02,PA609292
"A.C.P.G CATM de Plaisir",PLAISIR,Fonctionnement,1500.00,DOUILLET,David,Yvelines,"Les Républicains",167-02,PA422119
A.D.P.2.S,,Fonctionnement,1000.00,TIAN,Dominique,Bouches-du-Rhône,"Les Républicains",163-01,PA2815
"A.E.T.M. (Entraide des travailleurs maliens)","2 place Pierre Brossolette 94600 CHOISY LE ROI","Promotion culturel, éducative et sociale de la culture malienne",1000.00,CATHALA,Laurent,Val-de-Marne,"Socialiste, républicain et citoyen",163-01,PA765
A.F.D.M.A,"16 rue la Tullaye
22000 Saint-Brieuc","Soutien  aux familles des détenus",1000.00,LESAGE,Michel,Côtes-d'Armor,"Socialiste, républicain et citoyen",107-02,PA1963
A.F.F.T.R.,"SAINTE CROIX VALLEE FRANCAISE",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",163-01,PA266788
A.G.E.C./Equinoxe,"Avenue Charles de Gaulle - BP 306
36006 Châteauroux Cedex","Développement d'une saison culturelle",12000.00,CHANTEGUET,Jean-Paul,Indre,"Socialiste, républicain et citoyen",224-02,PA810
A.I.J.S.P.S.P.C.H.,Assérac,Fonctionnement,1500.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",163-04,PA267728
"A.J.A FUTSAL","43, route de la Forêt
17470 AULNAY DE SAINTONGE","Organisation d'un festival international de Futsal",2000.00,QUÉRÉ,Catherine,Charente-Maritime,"Socialiste, républicain et citoyen",219-01,PA331014
"A.L.R Les Genêts",Saint-Jacques-des-Arrêts,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",224-02,PA2377
"A.O.G. (Association Omnisports Gourbeyrienne)","Route du stade municipal
Walkanaers
97113 Gourbeyre","Acquisition de matériel sportif",5000.00,LUREL,Victorin,Guadeloupe,"Socialiste, républicain et citoyen",123-04,PA268048
"A.P.E.L Sainte Marie",VERLINGHEM,Fonctionnement,1000.00,DAUBRESSE,Marc-Philippe,Nord,"Les Républicains",139-09,PA1001
"A.P.E.L. de l'Ecole de St Flour de Mercoire","SAINT FLOUR DE MERCOIRE",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",139-09,PA266788
"A.P.E.L. de l'Ecole Saint Joseph",MENDE,Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",139-09,PA266788
"A.P.E.L. de l'Ecole Ste Marie","SAINT GERMAIN DU TEIL",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",139-09,PA266788
"A.P.E.L. ECcole de La Salle",SEDAN,Fonctionnement,1000.00,WARSMANN,Jean-Luc,Ardennes,"Les Républicains",214-01,PA2952
"A.P.E.L. Saint-Roch","37, rue Saint-Roch – 75001 PARIS",Fonctionnement,3000.00,LELLOUCHE,Pierre,Paris,"Les Républicains",139-09,PA1931
A.P.I.E,"3 boulevard Paul Leferme –
44600 Saint-Nazaire","Aide au développement de APIE RECYCLE",15000.00,BOUILLÉ,Marie-Odile,Loire-Atlantique,"Socialiste, républicain et citoyen",304-12,PA332843
A.R.C.A.F,Faumont,Fonctionnement,1500.00,LAZARO,Thierry,Nord,"Les Républicains",134-02,PA1857
"A.S Arnas",Arnas,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",219-01,PA2377
"A.S Chastelloise","LE CHASTEL NOUVEL",Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
"A.S. Recharinges - Araules - Montbuzat","M. Laurent PERBET
Perrel
43200 ARAULES",Fonctionnement,1500.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",219-01,PA267285
"A.S. St Georges de Lévejac","SAINT GEORGES DE LEVEJAC",Fonctionnement,2000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
"A.S.A. Lozère",MENDE,Fonctionnement,1000.00,MOREL-A-L'HUISSIER,Pierre,Lozère,"Les Républicains",219-01,PA266788
A.S.A.C,Vaux-en-Beaujolais,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",219-01,PA2377
"A.S.C Emulation","11 rue Matthieu Ravi Fond-Lahaye 97 233 Schoelcher","Equipement section jeunes (école de foot et tournoi métropole)",10000.00,AZEROT,"Bruno Nestor",Martinique,"Gauche démocrate et républicaine",123-04,PA610634
"A.T.A.R
Association Touristique de l'Abbaye Romane
""Saint Georges de Boscherville""","M. Dominique CYROT (Président)
12 route de l'Abbaye
76840 ST MARTIN DE BOSCHERVILLE","Soutien au fonctionnement de l'Association",10000.00,BOUILLON,Christophe,Seine-Maritime,"Socialiste, républicain et citoyen",134-21,PA267233
"A.V.E.N. 44/85",Sainte-Luce-sur-Loire,Fonctionnement,1000.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",204-14,PA267728
"A10 Gratuite","Saint-Arnoult en Yvelines","Acquisition de matériel informatique et de communication (banderoles, bannières)",1000.00,KOSCIUSKO-MORIZET,Nathalie,Essonne,"Les Républicains",203-01,PA267628
"A2D ou Agir pour la diversité et contre les
discriminations - L'Arbre à palabres","21 rue Mathis
75019 Paris","Soutien au fonctionnement de l'association pour sa permanance d'accueil des migrants âgés,  située 21 rue Mathis (19e)",10000.00,VAILLANT,Daniel,Paris,"Socialiste, républicain et citoyen",104-12,PA2859
A2H,"7 Rue du commerce
34000 MONTPELLIER","Réalisation d'une maquette pour favoriser l'accès de la mer aux personnes à mobilité réduite.",2500.00,ROUMEGAS,Jean-Louis,Hérault,Écologiste,157-04,PA606545
"A2M  Association Mohéliens de Marseille","cité des associations BP431, 93 la canebière 13001 Marseille","médiation sociale et culturelle",2000.00,MENNUCCI,Patrick,Bouches-du-Rhône,"Socialiste, républicain et citoyen",163-01,PA605426
A3F,"Espace Villepreux
37 rue du tronquet
33160 St Aubin","Promotion et débat sur l'aéronautique en gironde",3000.00,RÉCALDE,Marie,Gironde,"Socialiste, républicain et citoyen",219-01,PA341981
"AACEP Association des Aumoneries Catholiques de l'Enseignement Public de Saint-Maur","3 avenue Alexis Pessot
94100 Saint-Maur-des-Fossés",Fonctionnement,3000.00,BERRIOS,Sylvain,Val-de-Marne,"Les Républicains",230-01,PA687214
"AADCC Ass pour l'Animation et le Développement de la Culture Catalane","Mairie de Cabestany
66000 PERPIGNAN",Culture,1000.00,CRESTA,Jacques,Pyrénées-Orientales,"Socialiste, républicain et citoyen",224-02,PA608310
"AAH (Association d'Aide et d'Hébergement)","Chilly-Mazarin (intervient sur Longjumeau)","Réaménagement d'une kitchenette dans le studio 19 avenue de la libération",1000.00,KOSCIUSKO-MORIZET,Nathalie,Essonne,"Les Républicains",109-02,PA267628
AAOV,"Hôtel de Ville
12330 Marcillac",Fonctionnement,1500.00,CENSI,Yves,Aveyron,"Les Républicains",175-01,PA267266
"AAPAI Association angevine de parents d'adultes handicapés",Saint-Barthélémy-d'Anjou,Fonctionnement,5000.00,TAUGOURDEAU,Jean-Charles,Maine-et-Loire,"Les Républicains",157-01,PA2792
"AAPPMA de Bischoffsheim",Bischoffsheim,Fonctionnement,1000.00,FURST,Laurent,Bas-Rhin,"Les Républicains",206-05,PA266774
"AAPPMA de Monsols St Christophe Trades",Monsols,Fonctionnement,1000.00,PERRUT,Bernard,Rhône,"Les Républicains",205-06,PA2377
"AAPPMA de Saugues",Saugues,Fonctionnement,1500.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",205-06,PA607090
"Aassociation Saint Vincent","10 rue de Lorraine - 78100 Saint-Germain en Laye",Fonctionnement,1000.00,RICHARD,Arnaud,Yvelines,"Union des démocrates et indépendants",304-17,PA345897
AAST,AAST,"Mise aux normes et rénovation de la mairie",4000.00,CHABANNE,Nathalie,Pyrénées-Atlantiques,"Socialiste, républicain et citoyen",122-01,PA608235
AAVIV,Toulon,Fonctionnement,5000.00,LEVY,Geneviève,Var,"Les Républicains",101-03,PA267378
"ABA Attitude",Arcachon,Fonctionnement,1000.00,FOULON,Yves,Gironde,"Les Républicains",157-01,PA606478
"Abbaye de Belval","437 rue principale Hameau de Belval 62130 TROISVAUX","Organisation d'évènements",1000.00,COTTEL,Jean-Jacques,Pas-de-Calais,"Socialiste, républicain et citoyen",224-02,PA344114
Abbévillers,Abbévillers,"Equipement sportif et socio-culturel",44000.00,BARBIER,Frédéric,Doubs,"Socialiste, républicain et citoyen",122-01,PA642724
"ABC
ATHLÉTIC BOXING CLUB CALAISIEN","5 rue du Quebec 62100 CALAIS",Fonctionnement,2300.00,CAPET,Yann,Pas-de-Calais,"Socialiste, républicain et citoyen",219-01,PA608098
"ABC Diététique",LYON,"Installation d’une cuisine pédagogique",6500.00,NACHURY,Dominique,Rhône,"Les Républicains",204-12,PA344776
"ABC EPICERIE SOCIALE",,Fonctionnement,3000.00,CALMETTE,Alain,Cantal,"Socialiste, républicain et citoyen",304-14,PA605643
"ABC3R - Avenir Basket Club des 3 Rivières","Saint-Gildas des Bois",Fonctionnement,2000.00,PRIOU,Christophe,Loire-Atlantique,"Les Républicains",219-01,PA267728
ABDESS,"490 Chemin Grand Fond
97470 Saint-Benoît","Insertion par le travail, environnement",15000.00,FRUTEAU,Jean-Claude,Réunion,"Socialiste, républicain et citoyen",123-04,PA337568
Abeille,"2 rue René Cassin
77130 Montereau",Fonctionnement,18000.00,JÉGO,Yves,Seine-et-Marne,"Union des démocrates et indépendants",131-01,PA267801
"ABEO Cité des Rapatriés",,Fonctionnement,1000.00,TIAN,Dominique,Bouches-du-Rhône,"Les Républicains",169-07,PA2815
ABERGEMENT-LES-THESY,,"la rénovation de 2 citernes à eau",3500.00,SERMIER,Jean-Marie,Jura,"Les Républicains",122-01,PA267204
ABLEIGES,,"l'acquisition d'un camion benne",8000.00,HOUILLON,Philippe,Val-d'Oise,"Les Républicains",122-01,PA1661
ABMS,"route semoy Nohan 08800 Thilay",Fonctionnement,10000.00,LÉONARD,Christophe,Ardennes,"Socialiste, républicain et citoyen",113-07,PA605278
ABS,"Sada 97600 Mayotte","Développement sportif",5000.00,ABOUBACAR,Ibrahim,Mayotte,"Socialiste, républicain et citoyen",123-04,PA610758
ABSM,Saint-Martin,Fonctionnement,6000.00,GIBBES,Daniel,"Saint-Barthélemy et Saint-Martin","Les Républicains",219-01,PA610830
"Absolu Mandingue",Maisons-Laffitte,Fonctionnement,1000.00,MYARD,Jacques,Yvelines,"Les Républicains",224-02,PA2257
Absolut,"ST JEAN DE TOUSLAS",Fonctionnement,1000.00,FENECH,Georges,Rhône,"Les Républicains",224-02,PA267591
"AC Afrique du Nord",Menton,Fonctionnement,1000.00,GUIBAL,Jean-Claude,Alpes-Maritimes,"Les Républicains",169-03,PA1574
"AC Parempuyre","Complexe Léo Lagrange, rue Camille Montoya 33290 Parempuyre","Ouverture d'une section école d'athlétisme",1500.00,GOT,Pascale,Gironde,"Socialiste, républicain et citoyen",219-01,PA331973
"AC Saint-Robert","Saint-Robert
97123 Baillif","Etude Rénovation locaux",6000.00,LUREL,Victorin,Guadeloupe,"Socialiste, républicain et citoyen",123-04,PA268048
"AC SUD 28","6, rue de la voie blanche
28200 St Cloud en Dunois",Fonctionnement,1000.00,VIGIER,Philippe,Eure-et-Loir,"Union des démocrates et indépendants",219-01,PA331582
"Académie de danse","24 rue des Apennins
75017 Paris","Cours de danse classique et moderne Jazz pour enfants, adultes et adolescents",10000.00,LEPETIT,Annick,Paris,"Socialiste, républicain et citoyen",224-02,PA267965
"Académie de danse de Franconville","ADF
Centre culturel St Exupéry
32bis rue de la station
95130 FRANCONVILLE","Financement d'une manifestation",2500.00,SEBAOUN,Gérard,Val-d'Oise,"Socialiste, républicain et citoyen",224-02,PA610529
"Académie de l'eau","51, rue Salvador-Allende
92027 Nanterre Cedex","Aide au fonctionnement",8500.00,CHANTEGUET,Jean-Paul,Indre,"Socialiste, républicain et citoyen",113-07,PA810
"Académie de la Dombes",,"Organisation d’un concours de nouvelles littéraires",1000.00,VOISIN,Michel,Ain,"Les Républicains",224-02,PA2936
"Académie de la Dombes",Châtillon-sur-Chalaronne,Fonctionnement,1000.00,VOISIN,Michel,Ain,"Les Républicains",224-02,PA2936
"Académie de musique de Thury",Thury,Fonctionnement,1000.00,LARRIVÉ,Guillaume,Yonne,"Les Républicains",224-02,PA267785
"Académie de musiques modernes",Forges-les-Bains,"Renouvellement et acquisition de matériel pour accompagner un développement",1500.00,KOSCIUSKO-MORIZET,Nathalie,Essonne,"Les Républicains",224-02,PA267628
"Académie des arts de Chailly-en-Bière-Pringy",Chailly-en-Bière,Fonctionnement,1500.00,MIGNON,Jean-Claude,Seine-et-Marne,"Les Républicains",224-02,PA2191
"Académie des sciences , arts et Belles-lettres","Musée Paul Arbaud 2A, rue du 4 Septembre 13100 Aix en Provence","Restauration de faïences anciennes",3000.00,KERT,Christian,Bouches-du-Rhône,"Les Républicains",224-02,PA1761
"Académie des sciences lettre et arts d'Agen","Robert de FLAUJAC
9, boulevard de la République
47000 Agen",Culture,1000.00,LOUSTEAU,Lucette,Lot-et-Garonne,"Socialiste, républicain et citoyen",224-02,PA607283
"Académie du Jasmin",Grasse,Fonctionnement,1000.00,TABAROT,Michèle,Alpes-Maritimes,"Les Républicains",224-02,PA267794
"Académie du Pont du Gard","4 chemin de Font Grasse, 30210 Castillon du Gard","Exposition et maquettes sur l'aqueduc de Nimes",1000.00,PRAT,Patrice,Gard,"Socialiste, républicain et citoyen",224-02,PA606225
"Académie Internationale d'Eté","24 boulevard de Cimiez
06000 NICE",Fonctionnement,2000.00,SALLES,Rudy,Alpes-Maritimes,"Union des démocrates et indépendants",224-02,PA2667
"Académie internationale des Arts du Spectacle",Versailles,Fonctionnement,10000.00,"DE MAZIÈRES",François,Yvelines,"Les Républicains",131-01,PA609345
"Académie Musike Association",Cazoules-les-Béziers,Fonctionnement,4000.00,ABOUD,Élie,Hérault,"Les Républicains",224-02,PA267457
"ACAL - Lus la Croix Haute","26620 LUS LA CROIX HAUTE","Achat de panneaux signalétiques de valorisation du commerce et de l'artisanat local",1000.00,MARITON,Hervé,Drôme,"Les Républicains",134-02,PA2083
"ACAMAC (Assoc. centre d'action musicale Angoulême et Charente","3 Place Henri Dunant, 16000 ANGOULEME","Organisation festivals musicaux",2000.00,PINVILLE,Martine,Charente,"Socialiste, républicain et citoyen",224-02,PA330981
ACAPR,"M. Eric LOUBET
13, allée des Platanes
43130 RETOURNAC","Promotion du savoir faire local",1000.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",224-02,PA267285
ACARED,"Mairie de Dourdan
Esplanade Jean Moulin
91410 DOURDAN","Organisation du marché de Noël de Dourdan",7000.00,POUZOL,Michel,Essonne,"Socialiste, républicain et citoyen",134-02,PA609963
"Acasa Futsal","8, boulevard Denain
75010 PARIS","Sport, prévention",30000.00,CAMBADÉLIS,Jean-Christophe,Paris,"Socialiste, républicain et citoyen",219-01,PA719
ACCA,"PEAGE DE ROUSSILLON",Fonctionnement,1500.00,BARBIER,Jean-Pierre,Isère,"Les Républicains",113-07,PA606888
"ACCA d'Aubazat - Arlet",Aubazat,Fonctionnement,2000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA de Agnat",Agnat,Fonctionnement,2000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA de Aibre",Aibre,"Construction d'un chalet de chasse",1000.00,BONNOT,Marcel,Doubs,"Les Républicains",113-07,PA267576
"ACCA de Blesle",Blesle,Fonctionnement,3000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA de Chanteuges",Chanteuges,Fonctionnement,3000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA de Saint Diider sur Doulon","Saint Diider sur Doulon",Fonctionnement,3000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA de St Nazaire","66570 Saint Nazaire",Fonctionnement,1000.00,SIRÉ,Fernand,Pyrénées-Orientales,"Les Républicains",113-07,PA344492
"ACCA ESCARO","Jonathan GALINDO Président
66360 NYER",TRAVAUX,1000.00,OLIVE,Robert,Pyrénées-Orientales,"Socialiste, républicain et citoyen",113-07,PA642885
"ACCA Lempdes-sur-Allagnon","Lempdes sur Allagnon",Fonctionnement,2000.00,VIGIER,Jean-Pierre,Haute-Loire,"Les Républicains",113-07,PA607090
"ACCA Médière",Médière,"Construction d'un chalet de chasse",1000.00,BONNOT,Marcel,Doubs,"Les Républicains",113-07,PA267576
"ACCA St Didier-en-Velay","M. Didier ANDRE
Jabry
43140 SAINT DIDIER EN VELAY","Agrandissement de la maison de la chasse",1500.00,WAUQUIEZ,Laurent,Haute-Loire,"Les Républicains",113-07,PA267285
"ACCA St Romain les Atheux","St Romain les Atheux",Fonctionnement,1000.00,CINIERI,Dino,Loire,"Les Républicains",113-01,PA267429
