nomAttribuant,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,IdRAE,notificationUE,pourcentageSubvention
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,40864379900013,Association Roche Vendée Basket Club,Sports Collectifs de Haut Niveau 2017/2018,114 453,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,40864379900013,Association Roche Vendée Basket Club,Sports Collectifs de Tres Haut Niveau 2017/2018,50 000,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,43221918600017,Football Club Challans 85,Sports Collectifs de Haut Niveau 2017/2018,27 054,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,49966994300023,Union du Pays des Olonnes Basket,Sports Collectifs de Haut Niveau 2017/2018,23 895,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,78643691500010,Association Le Poiré sur Vie Vendée Football,Sports Collectifs de Haut Niveau 2017/2018,35 559,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,78644721900019,Tennis Entente Yonnaise,Sports Collectifs de Haut Niveau 2017/2018,52 366,50,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,78644735900013,Étoile Sportive Ornaysienne Football,Sports Collectifs de Haut Niveau 2017/2018,28 431,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,78834300200028,Association Vendée Les Herbiers Football,Sports Collectifs de Haut Niveau 2017/2018,124 902,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-10-06,1-9,78834300200028,Association Vendée Les Herbiers Football,Sports Collectifs de Tres Haut Niveau 2017/2018,50 000,00,aide en numéraire,1er Paiement : 50 % au retour de la convention signée 2eme Paiement : 30 % apres le vote du BP année N+1  3eme Paiement : 20 % selon bilans financiers et sportifs.,2017-10-06_2018-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-11-10,1 3,33792953300038,Fédération Départementale Familles Rurales de Vendée,aides aux organisateurs d'accueils de loisirs et de séjours de vacances destinés aux jeunes,42 750,00,aide en numéraire,unique,2017-12-22,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-11-10,4-18,83083669800019,Comité Départemental du Tourisme des Charentes,MISE EN TOURISME DE L'ITINERAIRE CYCLABLE EUROPEEN EV1 LA VELODYSSEE,60 000,00,aide en numéraire,Participation du Département versée en 3 fois :30 000 € en 2017, 24 000 € en 2018 et le solde, soit 6 000 € en 2020.,2018-01-31_2020-06-30,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-12-08,III-F 1,32834053400010,Institut L'Aubépine,Projet de réaménagement du site de L'Aubépine a La Roche-sur-Yon,400 000,00,aide en numéraire,- autre (80% a la signature de la convention et 20 % a la fin des travaux).,2017-12-08_2020-12-31,,non,1
Conseil Départemental de la Vendée,22850001300658,2017-12-15,N°2 6,13000342900011,Maison Départementale de l'Emploi et du Développement Economique,SUBVENTION POUR LA MISE EN OEUVRE DE PARCOURS DE LA 2EME CHANCE DU 01.09.2017 AU 31.12.2017,29 358,34,aide en numéraire,Autre  > Avance de 20,00% mise en paiement des notification de la convention, sous réserve d'une attestation de démarrage de l'opération.  > Un bilan final d'exécution au plus tard 6 mois apres la fin de la période de réalisation de l'opération.,2018-01-01_2019-02-28,,non,1
